End_year,Name,Release_season,Release_year,Tags
,"Mahoromatic: I'm Home!",,2009,"Comedy, Ecchi, Seinen, Androids, Maids, Non-Human Protagonists, Robots, Based on a Manga"
,Attack on Titan: Junior High,Fall ,2015,"Comedy, Fantasy, Shounen, Chibi, Gag, Parody, School Club, School Life, Based on a Manga"
,My Hero Academia: Hero Notebook,,2017,"Action, Comedy, Sci Fi, Shounen, Recap, School Life, Superheroes, Based on a Manga"
,Kindaichi Shounen no Jikenbo Movie 1: Operazakan - Aratanaru Satsujin,,1996,"Mystery, Shounen, Childhood Friends, Detectives, Based on a Manga"
2016,Heavy Object,Fall ,2015,"Action, Sci Fi, Military, War, Based on a Light Novel"
,Big Windup! The Basics of Basics,,2008,"Comedy, Seinen, Sports, Baseball, Based on a Manga"
,"Sailor Moon Super S Plus - Ami's First Love",,1995,"Magical Girl, Shoujo, Henshin Heroes, Magic, Sentai, Shorts, Tokusatsu, Based on a Manga"
,Jin: Lost Time Memory,,2013,Vocaloid
,Shimajirou to Niji no Oasis,,2017,"Adventure, Fantasy, Animal Protagonists, Anthropomorphic, Cats, Family Friendly, Non-Human Protagonists"
,Shimajirou to Fufu no Daibouken Movie: Sukue! Nana-iro no Hana,,2013,"Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists"
1985,Oyo Neko Bunyan,,1984,"Comedy, Animal Protagonists, Cats, Family Friendly, Non-Human Protagonists, Based on a Manga"
,Helen Keller Monogatari: Ai to Hikari no Tenshi,,1981,"Drama, Biographies"
,Baten Kaitos,,2021,"Sci Fi, Animal Protagonists, Non-Human Protagonists, Rabbits"
,Sailor Moon R Make Up! Sailor Guardians,,1993,"Magical Girl, Shoujo, Henshin Heroes, Magic, Sentai, Shorts, Tokusatsu, Based on a Manga"
,Galaxy Express 999: Beyond the Diamond Ring,,2009,"Adventure, Sci Fi"
,Ghost,,2021,VTubers
,Tokyo Majin,Winter,2007,"Action, Horror, Demons, Supernatural, Superpowers, Based on a Video Game"
,Damekko Doubutsu,Winter,2005,"Comedy, Fantasy, Animal Protagonists, Anthropomorphic, Chibi, Forest, Non-Human Protagonists, Short Episodes, Based on a 4-Koma Manga, Based on a Manga"
,Flowering Heart,,2016,"Fantasy, Magical Girl, Henshin Heroes, Korean Animation, Magic, Original Work"
1995,Cooking Papa,,1992,"Seinen, Slice of Life, Cooking, Family Life, Food and Beverage, Recipes, Salaryman, Based on a Manga"
,The Dino King,,2012,"Animal Protagonists, Dinosaurs, Korean Animation, Non-Human Protagonists, Prehistoric, CG Animation"
,Macross Delta Movie: Gekijou no Walkure Picture Drama,,2018,Picture Drama
,Ai Yori Aoshi,Spring,2002,"Comedy, Harem, Romance, Seinen, Slice of Life, Boarding House, Neighbors, Sudden Girlfriend Appearance, Based on a Manga"
,Hyakko,Fall ,2008,"Comedy, Shounen, Slice of Life, School Life, Based on a Manga"
,Ryoukan-san,,2003,"Slice of Life, 18th Century, Buddhism, Historical"
1994,Aoki Densetsu Shoot!,,1993,"Romance, Shounen, Sports, Love Triangle, Soccer, Based on a Manga"
2012,Plastic Nee-san,Spring,2011,"Comedy, Seinen, Gag, School Club, School Life, Short Episodes, Slapstick, Based on a Manga"
,Flavors of Youth,,2018,"Drama, Romance, Coming of Age, Fashion, Food and Beverage, Original Work, Mature Themes,, Domestic Abuse"
,Mashiroiro Symphony: The Color of Lovers,Fall ,2011,"Drama, Harem, Romance, All-Girls School, School Club, School Life, Tsundere, Based on an Eroge, Based on a Visual Novel, Sexual Content"
2019,Cardfight!! Vanguard (2018),Spring,2018,"Action, Fantasy, Card Battles, Family Friendly, Tournaments, Based on a Card Game"
,"The [email protected]: Cinderella Girls Special: Anytime, Anywhere with Cinderella",,2016,"Idols, Music, Based on a Mobile Game"
,King of Prism All Stars: Prism Show Best 10,,2020,"Idols, Music, Showbiz"
,Future GPX Cyber Formula,,1991,"Sci Fi, Sports, Cars, Racing, Original Work"
,Magical Shopping Arcade Abenobashi,Spring,2002,"Comedy, Fantasy, Magic, Parody, Person in a Strange World, Original Work"
,Poupelle of Chimney Town,,2020,"Adventure, Fantasy, Based on a Novel, CG Animation"
,Oni no Hanayome wa Taberaretai,,2021,"Comedy, Romance, Shoujo, Chibi, Historical, Non-Human Protagonists, Short Episodes, Supernatural, Youkai, Based on a Manga"
,Inazuma Eleven: Chou Jigen Dream Match,,2014,"Sports, Soccer, Based on a Video Game"
,My Next Life as a Villainess: All Routes Lead to Doom! OVA,,2021,"Comedy, Fantasy, Josei, Romance, Slice of Life, Isekai, Magic, Nobility, Reincarnation, Villainess, Based on a Light Novel"
,Needless,Summer,2009,"Action, Ecchi, Sci Fi, Seinen, Overpowered Main Characters, Panty Shots, Post-apocalyptic, Superpowers, Based on a Manga, Violence"
,Modest Heroes,,2018,"Adventure, Drama, Fantasy, Sci Fi, Collections"
,Baribari Densetsu (1986),,1986,"Action, Shounen, Sports, Motorcycles, Racing, Based on a Manga"
,Ninja Girl & Samurai Master 2nd Season,Spring,2017,"Action, Comedy, Seinen, 16th Century, Chibi, Feudal Japan, Historical, Ninja, Overpowered Main Characters, Rebellions, Short Episodes, War, Based on a 4-Koma Manga, Based on a Manga"
,Ginga Hyouryuu Vifam: Kieta 12-nin,,1985,"Mecha, Sci Fi, Outer Space, Real Robot, Original Work"
2013,Humanity Has Declined Specials,,2012,"Comedy, Fantasy, Post-apocalyptic, Based on a Light Novel"
,Monster Strike the Movie 2: Sora no Kanata,,2018,"Action, Fantasy, Monsters, Based on a Mobile Game, CG Animation"
1996,H2,Spring,1995,"Drama, Shounen, Sports, Baseball, Based on a Manga"
,Negima!? Natsu Special!?,,2006,"Comedy, Ecchi, Shounen, Magic, Based on a Manga"
2019,Pokemon Sun & Moon,Fall ,2016,"Fantasy, Shounen, Elemental Powers, Family Friendly, Monsters, Proxy Battles, School Life, Based on a Video Game"
2021,Re:ZERO -Starting Break Time From Zero- 2nd Season,Summer,2020,"Comedy, Fantasy, Chibi, Person in a Strange World, Short Episodes, Based on a Light Novel"
2020,Meow Meow Japanese History 4th Season,Spring,2019,"Comedy, Animal Protagonists, Anthropomorphic, Cats, Family Friendly, Feudal Japan, Historical, Non-Human Protagonists, Parody, Short Episodes, Based on a 4-Koma Manga, Based on a Manga"
,Inazuma Eleven: Reloaded - Soccer no Henkaku,,2018,"Shounen, Sports, Soccer"
2019,Hitori no Shita: The Outcast - Fanwai Pian,,2018,"Action, Chinese Animation, Martial Arts, Supernatural, Superpowers, Vampires"
,Kokkoku: Moment by Moment,Winter,2018,"Drama, Mystery, Seinen, Kidnapping, Psychological, Supernatural, Based on a Manga, Violence"
1983,Sentou Mecha Xabungle,,1982,"Action, Mecha, Sci Fi, Military, Original Work"
,Ado: Aitakute,,2021,"Drama, Romance, Slice of Life"
,Gamers!,Summer,2017,"Comedy, Romance, School Club, School Life, Based on a Light Novel"
,Neppu Kairiku Bushi Road,,2013,"Action, Sci Fi"
,Mekakucity Actors,Spring,2014,"Action, Comedy, Drama, Mystery, Based on a Song, Mental Illness, Supernatural"
,Denki-Gai,Fall ,2014,"Comedy, Seinen, Slice of Life, Bookstore, Coworkers, Doujinshi Industry, Manga Industry, Otaku Culture, Work Life, Based on a Manga"
2000,Ayatsuri Sakon,Fall ,1999,"Mystery, Shounen, Detectives, Based on a Manga"
,Drifting Dragons,Winter,2020,"Adventure, Fantasy, Seinen, Aviation, Cooking, Dragons, Food and Beverage, Based on a Manga, CG Animation"
,Danball Senki Wars,Spring,2013,"Action, Mecha, Sci Fi, Based on a Video Game"
,Engaged to the Unidentified Special,,2014,"Comedy, Seinen, Slice of Life, Based on a Manga"
,Kamisama Kazoku,Spring,2006,"Comedy, Fantasy, Romance, Angels, Gods, Non-Human Protagonists, School Life, Based on a Light Novel"
2006,Mix Master: King of Cards,Fall ,2005,"Action, Comedy, Fantasy, Card Battles, Korean Animation, Proxy Battles"
,Galaxy Express 999: Eternal Traveller Emeraldas,,1980,"Drama, Romance, Sci Fi"
,Nintama Rantarou: Saraba Ninjutsu Gakuen no Dan,,2017,"Comedy, Ninja"
1998,Saber Marionette J Again,,1997,"Action, Comedy, Harem, Sci Fi, Androids, Non-Human Protagonists, Robots"
,Daddy Long Legs,,1990,"All-Girls School, America, Boarding School, Mysterious Benefactor, Orphans, World Masterpiece Theater, Based on a Novel"
,King of Prism by Pretty Rhythm Short Anime,,2016,
,Golden Time (2013),,2013,"Adventure, Fantasy, No Dialogue, Shorts, Based on a Novel"
,Jungle Emperor Leo: The Brave Can Change the Future,,2009,"Action, Comedy, Drama, Animal Protagonists, Cats, Environmental, Family Friendly, Non-Human Protagonists"
,Aquarion Evol,Winter,2012,"Action, Comedy, Mecha, Romance, Sci Fi, Aliens, Combining Mecha, Original Work"
,Potemayo,Summer,2007,"Comedy, Seinen, Slice of Life, Animal Characteristics, Chibi, Non-Human Protagonists, School Life, Based on a 4-Koma Manga, Based on a Manga"
,Sword Art Online: Extra Edition,,2013,"Action, Adventure, Fantasy, Slice of Life, MMORPG, Recap, Virtual Reality"
2006,Black Jack,Fall ,2004,"Drama, Shounen, Doctors, Episodic, Medical, Based on a Manga"
,OL Kaizou Kouza,,1990,"Comedy, Slice of Life"
,Kurau: Phantom Memory,Summer,2004,"Drama, Sci Fi, Aliens, Superpowers, Original Work"
,Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,,2010,"Action, Fantasy, Shounen, Based on a Manga"
1993,Shin Choubakumatsu Shounen Seiki Takamaru,,1992,"Action, Comedy, Fantasy"
,Kyuubi no Kitsune to Tobimaru (Sesshouseki),,1968,"Supernatural, Based on a Novel"
,YOASOBI: Yasashii Suisei,,2021,"Animal Protagonists, Anthropomorphic, Non-Human Protagonists"
,3000 Leagues in Search of Mother Specials,,2001,"Adventure, 19th Century, Europe, Family Friendly, Historical, Recap, World Masterpiece Theater, Based on a Novel"
,"Love, Chunibyo & Other Delusions: Heart Throb Specials",,2014,"Comedy, School Life, Based on a Light Novel"
,Mahoromatic: Summer Special,,2003,"Comedy, Ecchi, Seinen, Androids, Maids, Non-Human Protagonists, Robots, Based on a Manga, Nudity"
2019,Zhan Shou Zhi Ren,,2018,"Action, Fantasy, Chinese Animation, Based on a Mobile Game"
1979,Muteki Koujin Daitarn 3,,1978,"Action, Mecha, Sci Fi, Super Robot, Original Work"
,The Himalayan Kingdom of Light,,1999,"Adventure, Fantasy, Mountain Climbing"
,My Hero Academia Movie 2: Heroes:Rising - Picture Drama,,2020,"Comedy, Picture Drama"
1997,Saber Marionette J,,1996,"Action, Comedy, Harem, Sci Fi, Androids, Non-Human Protagonists, Robots"
,Shaonian Jinyiwei,,2017,"Action, Adventure, Ancient China, Chinese Animation, Historical, CG Animation"
,Rainbow Days: After School Special,,2016,"Comedy, Romance, Shoujo, Slice of Life, Recap, Romantic Comedy, School Life, Based on a Manga"
,Princess Princess,Spring,2006,"Comedy, Shoujo, All-Boys School, Boarding School, Crossdressing, School Life, Based on a Manga"
2007,Mamoru-kun ni Megami no Shukufuku wo!,Fall ,2006,"Comedy, Ecchi, Romance, School Life, Based on a Light Novel"
,Moom,,2016,"Fantasy, Family Friendly, Non-Human Protagonists, Shorts, Based on a Picture Book, CG Animation"
,Genki! Genki! Nontan: Spoon Tan Tan Tan,,2013,"Animal Protagonists, Cats, Family Friendly, Music, Non-Human Protagonists, Based on a Picture Book, CG Animation"
,Manga Doushite Monogatari OVA,,1984,"Adventure, Family Friendly, Recap"
,Genki! Genki! Nontan: Spoon Tan Tan Tan,,2013,"Animal Protagonists, Cats, Family Friendly, Music, Non-Human Protagonists, Based on a Picture Book, CG Animation"
,"Wake Up, Girls! Movie 1: The Shadow of Youth",,2015,"Idols, Music, Showbiz, Original Work"
,Record of Lodoss War: Chronicles of the Heroic Knight,Spring,1998,"Action, Adventure, Fantasy, Island, Magic, Medieval, Swordplay"
,STARMYU OVA,,2016,"Music, Music School, School Life, Original Work"
,Fullmetal Alchemist: The Sacred Star of Milos Specials,,2011,"Comedy, Shounen, Siblings, Based on a Manga"
2005,Doki Doki School Hours Specials,,2004,"Comedy, Seinen, School Life, Based on a 4-Koma Manga, Based on a Manga"
2009,"The Familiar of Zero: ""Rondo"" of Princesses Picture Drama",,2008,"Comedy, Ecchi, Romance, Master-Servant Relationship, Picture Drama"
,Gingitsune: Messenger Fox of the Gods,Fall ,2013,"Seinen, Slice of Life, Japanese Mythology, Supernatural, Youkai, Based on a Manga"
,Midnight occult civil servants,Spring,2019,"Fantasy, Mystery, Shoujo, Contemporary Fantasy, Japanese Mythology, Supernatural, Urban Fantasy, Work Life, Youkai, Based on a Manga"
,Mobile Suit Gundam SEED: After Phase: In the Valley of Stars,,2004,"Mecha, Sci Fi, Slice of Life, Real Robot"
,Sangokushi Daisanbu Harukanaru Taichi,,1994,"Action, Ancient China, Historical, Romance of the Three Kingdoms, Based on a Novel"
,Black Cat Special,,2006,"Shounen, Based on a Manga"
,Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,,2016,"Adventure, Comedy, Crude, Dream World"
,"Eve: We're Still Underground",,2019,"Adventure, Fantasy, Contemporary Fantasy, Monsters, Urban Fantasy"
,Majestic Prince,Spring,2013,"Action, Drama, Mecha, Sci Fi, Seinen, Amnesia, Outer Space, Based on a Manga"
2007,Shakugan no Shana Specials,,2006,"Comedy, Fantasy, Chibi, Gag, Tsundere"
,Tatsumi,,2011,"Drama, Autobiographies, Historical, Based on a Manga"
,Cooking with Valkyries Spring Festival Special,,2021,"Slice of Life, Chinese Animation, Cooking, Food and Beverage, Shorts, Based on a Mobile Game"
2011,Karl to Fushigi na Tou,Fall ,2010,"Slice of Life, Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists, Original Work"
,Kurousa-P: Senbonzakura,,2011,Vocaloid
,Sekishoku Elegy,,2007,"Romance, Ga-nime, Based on a Manga"
1982,Shin Dokonjou Gaeru,,1981,"Comedy, Shounen, Based on a Manga"
,Tetsujin 28-gou (2004),Spring,2004,"Action, Mecha, Sci Fi, Shounen, Super Robot, Based on a Manga, Violence"
,Orenchi no Furo Jijou,Fall ,2014,"Comedy, Josei, Slice of Life, Mermaids, Non-Human Protagonists, Short Episodes, Based on a 4-Koma Manga, Based on a Manga"
,Planet With,Summer,2018,"Action, Mecha, Sci Fi, Aliens, Amnesia, Psychic Powers, Original Work"
,Gohan Suki,,2017,"Food and Beverage, Short Episodes, Based on a Manga"
,Ttori wa Zeta Robot,,1985,"Action, Adventure, Mecha, Family Friendly, Korean Animation"
,Tsuyoshi Shikkari Shinasai: Tsuyoshi no Time Machine de Shikkari Shinasai,,1993,"Comedy, Seinen, Based on a Manga"
,Piercing I,,2010,"Drama, Chinese Animation"
,Yu-Gi-Oh! Duel Monsters: Battle City Special,,2002,"Shounen, Card Battles, High Stakes Games, Recap, Supernatural, Based on a Manga"
,Tezuka Osamu Monogatari: Boku wa Son Gokuu,,1989,"Adventure, Fantasy, Autobiographies"
,Negima!? Haru Special!?,,2006,"Comedy, Ecchi, Shounen, Island, Magic, Based on a Manga"
2007,Mar,Spring,2005,"Action, Adventure, Fantasy, Shounen, Person in a Strange World, Superpowers, Based on a Manga"
1977,UFO Robo Grendizer,,1975,"Action, Mecha, Sci Fi, Shounen, Super Robot, Based on a Manga"
1993,Hime-chan no Ribbon,,1992,"Fantasy, Magical Girl, Romance, Shoujo, Henshin Heroes, Magic, School Life, Based on a Manga"
,Mukashi Mukashi Momotarou,,1972,"Adventure, Fantasy, Historical, Stop Motion Animation, Based on a Fairy Tale"
,Perrine Monogatari,,1978,"Drama, 19th Century, Countryside, Europe, Historical, World Masterpiece Theater, Based on a Novel"
2009,Casshern Sins,Fall ,2008,"Action, Sci Fi, Androids, Post-apocalyptic, Robots"
,"Dragon Ball Z Movie 5: Cooler's Revenge",,1991,"Action, Shounen, Aliens, Hand to Hand Combat, Martial Arts, Revenge, Superpowers, Based on a Manga"
,CIEL: Mado wo Akete,,2021,
,Haiyore! Nyaruko-san,Spring,2012,"Action, Comedy, Harem, Romance, Sci Fi, Aliens, Anthropomorphic, Cohabitation, Interspecies Relationship, Non-Human Protagonists, Parody, Based on a Light Novel"
2019,Tales of HR,Spring,2018,"Comedy, Chibi, Parody, Short Episodes"
,Osomatsu-kun: Suika no Hoshi kara Konnichiwa zansu!,,1989,"Comedy, Shounen, Based on a Manga"
,Those Who Hunt Elves II,Fall ,1997,"Action, Adventure, Comedy, Fantasy, Elves, Isekai, Non-Human Protagonists, Person in a Strange World, Based on a Manga"
,CB Chara Go Nagai World,,1991,"Comedy, Mecha, Sci Fi, Chibi, Crossover, Demons, Parody, Person in a Strange World, Supernatural, Super Robot, Based on a Manga"
2009,Atashinchi,Spring,2002,"Comedy, Slice of Life, Episodic, Family Friendly, Family Life, Based on a Manga"
1991,Bucchigiri,,1989,"Shounen, Sports, Baseball, Delinquents, School Life, Based on a Manga"
,Sore Ike! Anpanman: Dokin-chan no Dokidoki Calendar,,1991,"Comedy, Anthropomorphic, Family Friendly, Food Protagonists, Non-Human Protagonists"
,Shi Wan Ge Leng Xiaohua Movie,,2015,"Comedy, Chinese Animation"
,Disney: Twisted-Wonderland 1-shuunen Kinen PV,,2021,"Disney, Non-Human Protagonists, Promotional, Based on a Mobile Game"
,Digimon Adventure Memorial Story Project,Winter,2020,"Adventure, Drama, Sci Fi, Monsters, Short Episodes"
,Munto 2: Beyond the Walls of Time,,2005,"Action, Drama, Fantasy, Magic, Original Work"
,Toufu Kozou,,2011,"Adventure, Comedy, Family Friendly, Supernatural, Youkai, Based on a Novel, CG Animation"
,Shoukoushi Cedie Specials,,2001,"Drama, 19th Century, England, Europe, Historical, Recap, World Masterpiece Theater, Based on a Novel"
,Legend of Basara,,1998,"Action, Adventure, Fantasy, Shoujo, Impersonation, Post-apocalyptic, Based on a Manga"
,Eve: Outsider,,2018,Sci Fi
,Free! Timeless Medley: Yakusoku - Character Butai Aisatsu,,2017,"Comedy, Short Episodes"
,Captain Harlock: Mystery of the Arcadia,,1978,"Action, Drama, Sci Fi, Seinen, Aliens, Leijiverse, Outer Space, Space Opera, Space Pirates, Based on a Manga"
,Dorohedoro: Ma no Omake,,2020,"Comedy, Fantasy, Anthropomorphic, Dark Fantasy, Food and Beverage, Food Protagonists, Supernatural, Based on a Manga"
,Chima: Arifureta Itsuka,,2021,Dogs
,Farewell to Space Battleship Yamato: In the Name of Love,,1978,"Drama, Sci Fi, Leijiverse, Outer Space, Original Work"
,Genshiken: Second Generation OVA,,2013,"Comedy, Drama, Seinen, Slice of Life, Otaku Culture, Parody, Satire, Based on a Manga"
,Dragon Ball Z Movie 10: Broly - Second Coming,,1994,"Action, Shounen, Aliens, Hand to Hand Combat, Martial Arts, Superpowers, Based on a Manga"
,Lemon Angel YJ-ban,,1990,"Romance, School Life, Based on a Manga, Nudity,, Sexual Content"
,Chichi to Ko,,1998,Family Friendly
,Rockman.EXE Beast+,Spring,2006,"Sci Fi, Proxy Battles"
,Black Clover: Jump Festa 2016 Special,,2016,"Action, Adventure, Fantasy, Shounen, Magic, Based on a Manga"
1993,Genki Bakuhatsu Ganbaruger,,1992,"Adventure, Comedy, Mecha, Transforming Mecha"
,Green Days: Dinosaur and I,,2011,"Drama, Korean Animation"
2021,Wojia Da Shixiong Shi Ge Fanpai,,2020,"Comedy, Fantasy, Chinese Animation, Cultivation, Xianxia, Based on a Manga"
,Toriko: Barbarian Ivy wo Hokaku Seyo!,,2010,"Action, Adventure, Comedy, Shounen, Food and Beverage, Superpowers, Based on a Manga"
,The Perfect Insider,Fall ,2015,"Mystery, Island, noitaminA, Based on a Novel, Violence"
,Digimon Adventure 02 Movie: Diaboromon Strikes Back,,2001,"Action, Sci Fi, Shounen, Family Friendly, Monsters"
,Tenjho Tenge: The Past Chapter,,2005,"Action, Ecchi, Seinen, Hand to Hand Combat, Martial Arts, Panty Shots, Based on a Manga"
,Crystal Sky of Yesterday,,2018,"Drama, Romance, Chinese Animation, Coming of Age, School Life"
,Puchimas! Petit Petit [email protected] OVA,,2018,"Chibi, Idols"
,Detective Conan: Chase the Mysterious Comet Monster!,,2001,Mystery
,Guilty Crown Kiseki: Reassortment,,2012,"Action, Mecha, Sci Fi, noitaminA, Recap, Original Work"
,The [email protected]: Cinderella Girls,Winter,2015,"Idols, Music, Showbiz, Based on a Mobile Game"
,Higurashi: When They Cry - Sotsu,Summer,2021,"Horror, Mystery, Countryside, Curse, Psychological, Thriller, Based on a Visual Novel, Explicit Violence,, Mature Themes,, Suicide"
1982,Dash! Kappei,,1981,"Comedy, Ecchi, Sports, Basketball, Panty Shots, School Life, Based on a Manga"
,Chiisana Love Letter: Mariko to Nemunoki no Kodomo-tachi,,1981,"Drama, School Life"
,Thermae Romae x Asahi Shimbun Digital Collaboration,,2012,"Comedy, Seinen, Promotional, Shorts, Based on a Manga"
,Hatenkou Yuugi,Winter,2008,"Adventure, Drama, Fantasy, Josei, Based on a Manga"
,Little Polar Bear: Shirokuma-kun Gets on a Ship,,1991,"Adventure, Fantasy, Animal Protagonists, Bears, Family Friendly, Non-Human Protagonists, Based on a Novel"
,The Story of Mr. Sorry,,2009,"Drama, Korean Animation"
1985,Sherlock Hound,,1984,"19th Century, Animal Protagonists, Anthropomorphic, Detectives, Dogs, England, Europe, Family Friendly, Historical, Non-Human Protagonists, Sherlock Holmes"
,Mobile Suit Gundam SEED C.E.73: Stargazer,Summer,2006,"Mecha, Sci Fi, Outer Space, Real Robot, Violence"
,Gintama x Monster Strike,,2019,"Action, Comedy, Fantasy, Sci Fi, Crossover, Gag, Monsters, Parody, Promotional, Samurai, Short Episodes, Swordplay"
,"Steins;Gate 0: Valentine's of Crystal Polymorphism -Bittersweet Intermedio-",,2018,"Drama, Sci Fi, Valentine's Day, Based on a Visual Novel"
,Dixie Flatline: Just Be Friends,,2009,Vocaloid
,Manbo-P: Irokoizata wa Subete Sakuzu de Kaiketsu Kanou Aru Koto no Shoumei,,2017,"Comedy, Romance, Vocaloid"
1993,Narara Superboard,,1990,"Action, Adventure, Comedy, Korean Animation"
,H2O: Footprints in the Sand,Winter,2008,"Drama, Romance, Slice of Life, Countryside, Disability, Psychological, School Life, Based on an Eroge, Based on a Visual Novel, Bullying,, Mature Themes,, Nudity,, Physical Abuse"
,Dorami-chan: A Blue Straw Hat,,1994,"Fantasy, Family Friendly"
,"Sing ""Yesterday"" for Me",Spring,2020,"Drama, Romance, Seinen, Slice of Life, Convenience Store, Death of a Loved One, Love Triangle, Mature Romance, Melancholy, Based on a Manga"
,Yu Yu Hakusho: The Movie,,1993,"Action, Shounen, Supernatural, Based on a Manga"
,Atashinchi 3D Movie: Jounetsu no Chou Chounouryoku Haha Daibousou,,2010,"Comedy, Slice of Life, Family Friendly, Family Life, Based on a Manga"
,"Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note - A Grave Keeper, a Cat, and a Mage",,2018,"Fantasy, England, Europe, Magic, Based on a Light Novel"
1990,Mahjong Hishouden: Naki no Ryuu,,1988,"Drama, Seinen, Gambling, Mahjong, Psychological, Based on a Manga"
2017,Gan Gan Ganko-chan,Winter,2016,"Fantasy, Slice of Life, Animal Protagonists, Anthropomorphic, Dinosaurs, Family Friendly, Forest, Lifestyle Change, Non-Human Protagonists, Short Episodes, Time Travel"
,Gundam Build Divers Re:RISE,Fall ,2019,"Action, Mecha, Sci Fi, Super Robot, Transforming Mecha, Virtual Reality"
1990,Gosenzo-sama Banbanzai!,,1989,"Sci Fi, Abstract, Time Travel, Original Work, Incest,, Mature Themes"
,Gan Gan Ganko-chan 2nd Season,Winter,2018,"Fantasy, Slice of Life, Animal Protagonists, Anthropomorphic, Dinosaurs, Family Friendly, Non-Human Protagonists, Short Episodes, Time Travel"
,"Why the Hell are You Here, Teacher!? Thirteenth Period",,2019,"Comedy, Ecchi, Romance, Student-Teacher Relationship, Based on a Manga, Nudity"
,Ranpou,,1984,"Comedy, Based on a Manga"
,Kaiketsu Zorori Movie 4: ZZ no Himitsu,,2017,"Adventure, Comedy, Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists, Pigs, Based on a Picture Book"
,EGOIST: Eiyuu Unmei no Uta,,2017,"Action, Fantasy, Magic, Swordplay"
,A Town Where You Live: Tasogare Kousaten,,2012,"Drama, Romance, Shounen, Fake Romance, Based on a Manga"
,Mahoujin Guru Guru Doki Doki Legend,Spring,2000,"Adventure, Comedy, Fantasy, Shounen, Parody, Based on a Manga"
,Saki: Episode of Side A,Spring,2012,"Comedy, Ecchi, Shounen, Board Games, Mahjong, School Club, School Life, Tournaments, Based on a Manga"
,Captain The Movie,,1981,"Shounen, Sports, Baseball, Tournaments, Based on a Manga"
,Running Boy: Star Soldier no Himitsu,,1986,"Action, Sci Fi"
,Harbor Tale,,2011,"Adventure, Fantasy, Stop Motion Animation, CG Animation, Original Work"
,Trusty Ginjiro,,1991,"Action, Shounen, Transfer Students, Based on a Manga"
,Robotech: The Shadow Chronicles,,2006,"Action, Mecha, Sci Fi, Aliens, Military, Real Robot, War"
,Shin Koihime Musou: Otome Tairan,Spring,2010,"Adventure, Ecchi, Ancient China, Martial Arts, Romance of the Three Kingdoms, Based on an Eroge, Based on a Visual Novel"
1993,Gorillaman,,1992,"Comedy, Seinen, School Life, Based on a Manga"
,Revue Starlight: Rondo Rondo Rondo,,2020,"Drama, Abstract, All-Girls School, Childhood Friends, Childhood Promise, Recap, Showbiz, Original Work"
,Oh! Edo Rocket,Spring,2007,"Comedy, Drama, Sci Fi, 19th Century, Historical"
,Haiyore! Nyaruko-san W OVA,,2014,"Comedy, Harem, Sci Fi, Slice of Life, Aliens, Anthropomorphic, Interspecies Relationship, Non-Human Protagonists, Supernatural, Based on a Light Novel"
2009,Onegai My Melody Kirara,Spring,2008,"Fantasy, Anthropomorphic, Family Friendly, Sanrio Characters"
2009,Da Capo if,,2008,"Drama, Romance, Based on an Eroge, Based on a Visual Novel"
,Anata wo Zutto Aishiteru,,2015,"Adventure, Animal Protagonists, Dinosaurs, Family Friendly, Non-Human Protagonists, Prehistoric, Based on a Novel"
2015,Brothers Conflict OVA,,2014,"Reverse Harem, Romance, Christmas, Valentine's Day, Based on a Light Novel"
2003,Spiral,Fall ,2002,"Action, Mystery, Shounen, Detectives, Based on a Manga"
2009,Psychic Squad,Spring,2008,"Action, Comedy, Shounen, Psychic Powers, Superpowers, Based on a Manga"
,Gag Manga Biyori 2,Summer,2006,"Comedy, Shounen, Crude, Episodic, Gag, Short Episodes, Based on a Manga"
,Ninjaman Ippei,,1982,"Comedy, Shounen, Ninja, School Life, Based on a Manga"
,Jing: King of Bandits,Spring,2002,"Adventure, Comedy, Fantasy, Shounen, Slice of Life, Episodic, Thieves, Based on a Manga"
,Natsume Yuujinchou × Kumamoto-ken: Hitoyoshi/Kuma de no Yasashii Jikan,,2021,"Shoujo, Slice of Life, Cats, Countryside, Japanese Mythology, Supernatural, Youkai"
,The Lighthouse,,2010,"Drama, Slice of Life, Chinese Animation, Island, Melancholy, Shorts"
,Samurai Harem: Asu no Yoichi,Winter,2009,"Comedy, Ecchi, Harem, Shounen, Lifestyle Change, Roommates, Samurai, Based on a Manga"
,Urusei Yatsura Movie 3: Remember My Love,,1985,"Comedy, Romance, Sci Fi, Shounen, Aliens, Love Triangle, Based on a Manga"
,Mafumafu: Onnanoko ni Naritai,,2019,
1972,Kunimatsu-sama no Otoridai,,1971,"Comedy, Sports, Baseball, School Life, Based on a Manga"
,The Thousand Musketeers OVA,,2019,"Action, Military, Based on a Mobile Game"
,Bakugan: Geogan Rising,Winter,2021,"Family Friendly, Proxy Battles"
,Show By Rock!!#,Fall ,2016,"Animal Characteristics, Music, Non-Human Protagonists, Based on a Mobile Game"
