End_year,Name,Release_season,Release_year
,Encouragement of Climb,Winter,2013
2019,The Journey Home,Summer,2018
,"Ganbare, Douki-chan",Fall ,2021
,Rilakkuma: Kyou mo Pukapuka Dararakko,,2016
,Rilakkuma: Motto Nonbiri Neko,,2015
2015,Shi Xiong,,2014
,Kero Kero Chime,Spring,1997
1982,Hello! Sandybell,,1981
,Nekomonogatari (Black) Recap,,2013
1976,Sindbad no Bouken,,1975
,The Demon Girl Next Door Mini,Spring,2019
,Keina Suda: Red,,2017
,Glassy Ocean,,1998
,Maware Toroika,,2013
,Imokawa Mukuzo: Genkanban no Maki,,1917
,Kankou Taisen Saitama: Sakuya no Tatakai,,2011
2006,To Heart 2,Fall ,2005
,Bannertail: The Story of Gray Squirrel,,1979
,Appleseed XIII Movie 2: Ouranos,,2011
,TRIGGER: Leopard Eyes,,2015
,Panpaka Pants O New!,Spring,2015
,Yukai na Mezamashi Tokei,,1974
,Sou: Utopia,,2020
,Iyowa: Over!,,2021
,"Maken-Ki! It's Summer! It's Swimsuits! It's Training Camp!",,2012
,Yubikiri,,2005
,Chou Seimeitai Transformers: Beast Wars Neo,Winter,1999
,Denshinbashira Elemi no Koi,,2009
1991,Mashin Eiyuuden Wataru 2,,1990
,"Ah My Buddha!! Don't Rest!!",,2005
,Pokemon Movie 22: Mewtwo Strikes Back Evolution,,2019
,Super Street Fighter IV,,2010
2001,Kyoro-chan,Summer,1999
,Clover,,1999
2001,Pipopapo Patrol-kun,,2000
,"Neko mo, Ondake",Spring,2016
,Itsumo Kokoro ni Ho,,2013
,Fantascope Tylostoma,,2006
,"Pokemon: Pikachu's Big Mysterious Adventure",,2010
,Wild Knights Gulkeeva,Spring,1995
,Ousama no Takaramono,,2009
,Channeler,,2012
2021,Poccolies,Spring,2020
,"Good-bye, Cramer Mini Anime",,2021
1974,Sekai Monoshiri Ryoko,,1971
,Hoshikuzu Paradise,,1991
,Fatal Fury: The Motion Picture,,1994
,Mini Vanguard,Spring,2013
1999,Beast Wars II Chou Seimeitai Transformers,Spring,1998
,Eto wa Merry-Go-Round,,1992
,Air Bound,,2015
,Persona 5 the Animation Recap,,2018
,Huckleberry no Bouken,,1976
,Megazone 23 Part III,,1989
,Choco to Watashi,,2014
2019,Asa da yo! Kaishain,Spring,2016
,THE CHARM PARK: Gravity,,2019
2016,Shiguang Guiyu,,2015
,T.M. Revolution: Committed RED,,2016
,Ninja Scroll BURST,,2012
,Horizon in the Middle of Nowhere: Kyokutou Naruhodo Kouza,,2011
1971,Ijiwaru Baa-san,,1970
1993,Sohryuden: Legend of the Dragon Kings,,1991
1988,Akai Koudan Zillion Specials,,1987
1985,Perman (1983),,1983
,Pinocchio-P: Secret HIMITSU,,2020
2017,Kimoshiba,Fall ,2016
,Mizu no Tane,,1975
,DAIHAKKEN: The Extremist,,2019
,Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru,,1997
,"Spirit of Wonder: Miss China's Ring",,1992
,Ichiban Chikakute Tooi Hoshi,,2021
2017,nowisee,,2015
,The Gift,,2016
,Wakakusa Monogatari,,1980
2021,Gekidan Nanatsu no Taizai,,2020
,Hatsukoi Limited: Limited Girl,,2009
,Usamaru,Summer,2016
,Snowdrop,,2004
,Dosukoi!! Tarou,,1993
,Kite (2020),,2020
,Chainsaw Bunny: Deleted Scene,,2018
,The [email protected]: Onegai Cinderella,,2013
,Dr. Slump Movie 1: Hello! Wonderland,,1981
,Project A-Ko 2: Plot of the Daitokuji Financial Group,,1987
,Tono to Issho 2,Spring,2011
,Prefectural Earth Defense Force,,1986
,Mori no Kokoro-Koro,,2005
,"Kamen Rider Zero-One Short Anime: Everyone's Daily Life",,2020
,Jin: Shissou Word,,2017
,Dame Oyaji,,1974
,Asatte Dance,,1991
,Pinocchio-P: Aisarenakutemo Kimi ga Iru,,2020
,Star Ocean EX,Spring,2001
,Fist of the Blue Sky Specials,,2007
,Natsu-P: Tsukiyo no Otome,,2019
,Horizon in the Middle of Nowhere Special,,2018
,Overlord Movie: Manner Movie,,2017
,NG Knight Lamune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,,1991
,"Working'!! Announcement Specials",,2011
2010,Jewelpet,Spring,2009
,Devilman: Memorial,,1999
,Enoshimans Spin-off: Kurage no Soudan,,2019
,Warau kumo,,2016
,Ikinuke! Bakusou! Kusohamu-chan! Episode 0,,2021
,A Tree of Palme,,2002
,Space Pirate Mito Pilot,,1999
,Guardian Ninja Mamoru!,Winter,2006
,77 Danui Bimil,,1978
,Cell no Koi,,2005
,Natsu to Suisei: Daredemo Nai Monster,,2020
,"Kenji Nojima: Don't Worry - Monotarinai Monogatari",,2017
,Mori no Ongakukai,,1953
,DNA² OVA,,1995
,AMAIM Warrior at the Borderline,Fall ,2021
2009,Earl and Fairy Specials,,2008
1983,Galactic Gale Baxinger,,1982
,"Oam Monogatari: Sono Natsu, Watashi ga Shitta Koto",Spring,2018
,Grimgar of Fantasy and Ash Special,,2016
,Final Approach,Fall ,2004
,Fairy Musketeers OVA,,2005
,Nana Seven of Seven: Shougatsu Da yo! 7 x 7 = 49-nin no Nana?,,2002
1976,Getter Robo G,,1975
1965,Shounen Ninja Kaze no Fujimaru,,1964
,Sakura Wars: The Movie,,2001
,The Magnificent KOTOBUKI,Winter,2019
,Hong Mao Lan Tu: Kaixin Yike,,2005
,Katte ni Kaizou Specials,,2011
1997,Wedding Peach DX,,1996
1990,Aoi Blink,,1989
1987,High School! Kimengumi,,1985
,Guyver: Out of Control,,1986
,Angelic Layer: Be My Angel,,2010
1991,Magical Angel Sweet Mint,,1990
,Shoujo Conto All Starlight,Summer,2019
,Azuma Hitomi: Kirakira,,2011
,Kodanuki Ponpo,,1983
,Touyu: Idobata Gossip,,2015
,Pororo the Little Penguin 3,,2009
,Tayo the Little Bus Movie: Mission Ace,,2016
,Dallyeola Hani,,1988
,Fireball Charming,Spring,2011
,Keroro,Spring,2014
,Oda Shinamon Nobunaga,Winter,2020
,"Girl's High Specials",,2006
,The Grouse in Snow Mountain,,2011
2020,Kaijuu Step Wandabada,Fall ,2019
,Gen Hoshino: Sarashimono,,2020
1995,New Cutey Honey,,1994
,"Visions of Frank: Short Films by Japan's Most Audacious Animators",,2005
,Shadow Skill: Secret of the Kurudan Style,,2004
1979,Gatchaman II,,1978
2007,Digimon Savers,Spring,2006
,Kiss Dum: Engage Planet,Spring,2007
,Morita-san wa Mukuchi,,2011
,Hedgehogs,,2016
,Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose,,1992
,Kano: Sore wa Kitto Natsu datta,,2020
,Are wa Dare?,,1976
,One Piece: Annecy Festival 60th Anniversary,,2021
1996,Kiteretsu Daihyakka,,1988
,Legend of the Millennium Dragon,,2011
,God Eater Prologue,,2009
,The Prince of Tennis Mini Theater,,2009
,Nippon-ichi no Otoko no Tamashii 2,Spring,1999
,"Momon's Sand Witch",,2014
,Hikaru Utada: Beautiful World,,2014
,Tesagure! Bukatsumono: Spin-off Puru Purun Sharumu to Asobou,Spring,2015
,Spookiz Season 3,,2019
,Wonder-kun no Hatsu Yume Uchuu Ryokou,,1969
,ENJOY MUSIC CLUB: Sonna Yoru,,2017
,Mushi no Tsubuyaki,,2020
2014,Pupipo!,Winter,2013
,Silent Mobius: The Motion Picture 2,,1992
1968,Donkikko,,1967
2010,Utawarerumono Picture Drama,,2009
,Hitohira,Spring,2007
,Kero Kero Keroppi no Bouken: Pink no Kinoko,,1993
,"Hello Kitty's Paradise",,1994
,number24 Recap,,2020
,Meine Liebe Wieder,Winter,2006
,NG Knight Lamune & 40 DX: Wakuwaku Jikuu - Honoo no Daisousasen,,1993
,Cotton Candy Ei-Ei-Oh!,,2020
,Tomorrow from there,,2015
2011,Seikimatsu Occult Gakuin Specials,,2010
1966,Mirai Kara Kita Shounen Super Jetter,,1965
,"Yagami-kun's Family Affairs",,1990
,DNA²,,1994
,Fate/Kaleid Liner Prisma Illya: Undoukai de Dance!,,2014
,FAKE TYPE: BEELZEBUZ,,2020
,e-ma Nodo Ame CM: VTuber,,2021
,Genki!! Ekoda-chan,Spring,2011
,Kisha no Hattatsu,,1932
,Toukiden 2,Spring,2016
,The Disappearance of Nagato Yuki-chan,Spring,2015
,All-Free kono Natsu Ichioshi Monogatari Campaign Kokuchi Douga,,2016
,Hello Kitty no Sambiki no Kobuta,,2001
,Michel,Summer,2003
,Sangatsu no Phantasia: Hajimari no Sokudo,,2016
2008,Tai Chi Chasers,Spring,2007
,Mobile Suit Gundam-san (Web),,2014
,Five Star Stories,,1989
,Yoligongju Loopy,,2012
,Ace wo Nerae! Movie,,1979
,Pinocchio-P: SLoWMoTIoN,,2014
,"Sugar, With a Story",,2017
,To Heart: Remember My Memories,Fall ,2004
2021,Adachi and Shimamura Mini Anime,Fall ,2020
,Pop Team Epic Specials,,2018
,Tantei Opera Milky Holmes: Arsene - Karei naru Yokubou,,2017
,Moonlit Night & Opal,,2015
,MTV ULTRAHITS: Wild Cleaner ID,,2019
,Project A-Ko 4: Final,,1988
,Shizunde Iku yo,,2021
,"The Prince of Tennis: New Year's Special",,2003
,Kabukibu! Special,,2017
,Pokemon Mystery Dungeon: The Final Adventure Through Time and Darkness,,2009
1993,Nozomi Witches,,1992
,ClariS: Connect,,2011
2015,Space Dandy 2 Picture Drama,,2014
2017,Keijo!!!!!!!! Specials,,2016
,Flash and Dash,,2007
,The Enchanted Journey,,1981
2017,Trickster,Fall ,2016
2016,Kura Sushi,,2014
,kemu: Invisible,,2014
1984,Miyuki,,1983
,Nanaka 6/17,Winter,2003
,Koncos: The Starry Night,,2018
,Nakanaide,,1999
,iMarine Project: Sunny Days! MMD,,2018
,GeGeGe no Kitarou (1968),,1968
,"How Clumsy you are, Miss Ueno",Winter,2019
,Hamtaro OVA 2: Ham-Hams Ahoy!,,2003
,Seton Doubutsuki: Kuma no Ko Jacky,,1977
,Magical Girl Site,Spring,2018
,Morita-san wa Mukuchi TV Specials,,2012
,Shampoo Ouji,,2017
,Ocean Waves,,1993
,Gourmet Girl Graffiti,Winter,2015
1977,Paul no Miracle Dai Sakusen,,1976
,Hello Kitty no Kieta Santa-san no Boushi,,1992
2017,Meow Meow Japanese History,Spring,2016
1995,Ogre Slayer,,1994
2016,Bary-san no Imabari-ben Kouza,Summer,2015
,Plus 50000-nen,,1961
,"Zamagi: It's So Good Now",,2005
,Christmas in January,,1991
1973,Kaiketsu Tamagon,,1972
1974,Gatchaman,,1972
,Miss Kuroitsu From the Monster Development Department,Winter,2022
2006,Fafner: Arcadian Memory,,2005
,Persona: Trinity Soul,Winter,2008
,Akame ga Kill! Recap,,2014
,The Star of Cottonland Special,,2007
1992,Warau Salesman Specials,,1990
,Chikara Bashi,,1976
,Potecco Babies (2011),,2011
1999,Dragon Knight: Wheel of Time,,1998
,Buddy Go! 2,,2016
,Ninpuu Kamui Gaiden,,1969
,Chaos;Child: Silent Sky,,2017
,Armored Trooper Votoms Case;Irvine,,2010
,Wanpaku Ouji no Orochi Taiji,,1963
,Transformers: Cybertron,Winter,2005
,Anime Tenchou x Touhou Project,,2010
2018,Delinquent Hamsters,Winter,2013
,Getting dressed,,2010
,Mitchie M: Idol wo Sakase,,2012
,Clockwork Planet,Spring,2017
1972,Shin Obake no Q-Tarou,,1971
,Katana Maidens: Toji no Miko,Winter,2018
,Overflow,Winter,2020
,Chii-Sui Maru,,2010
2015,Stuck Rabbit,Winter,2013
,DAIHAKKEN: End of Comedy,,2020
,Akuei to Gacchinpo: Tenkomori,,2005
,Kita no Kaze to Taiyou to,,2012
,Shinsetsu Kachikachi Yama,,1936
,Massugu ni Ikou,,2003
,Touken Ranbu: Hanamaru,Fall ,2016
2017,Long Riders!,Fall ,2016
1974,Miracle Shoujo Limit-chan,,1973
1982,Honey-Honey,,1981
,Tenchi in Tokyo Specials,,1997
,DECO*27: Nocturnal Kids,,2019
,HameFura: Catarina to Manabou,,2020
,Hachioji-P: Kimagure Mercy,,2016
,Nem: Super Hero,,2012
,Buddy Go!,,2016
1993,Flower Witch Mary Bell,,1992
,Golgo 13: The Professional,,1983
2011,MM! Group: SS!,,2010
,Yamishibai: Japanese Ghost Stories 2nd Season,Summer,2014
,Pokemon Mystery Dungeon: Explorers of Time and Darkness,,2007
,Zenmaiji-kake no Truffe,,2014
,Hitomi no Naka no Shounen: 15 Shounen Hyouryuuki,,1987
,Ito Koishi,,2012
,Last Note: Dead Line Circus,,2012
,Panpaka Pants WO New!,Spring,2016
,Noobow: Mini Theater,,2009
,Shin Kabukichou Story Hana no Asukagumi!,,1987
,AKB48: First Rabbit,,2013
,Obaa-chan Moshikashite,,2005
,Japan Media Arts Festival 2019 Introduction Animation,,2019
,Robotica * Robotics,,2010
1988,Transformers: The Headmasters,,1987
,Hikari no Densetsu,,1986
,Angel Tales Omake,,2005
,"Masamune-kun's Revenge OVA",,2018
,Super Teukgeup Mazinger 7,,1983
,Shuwashuwa-P: SPL,,2012
,Futakoi,Fall ,2004
,Yu-Gi-Oh! Zexal II: Iza! Saishuu Kessen e!! Special,,2013
,Ima no Watashi ni Dekiru Koto...,Summer,2016
,Record of Ragnarok Mini Anime,,2021
,Tide-Line Blue Special,,2006
,Dragon Quest Retsuden: Roto no Monshou,,1996
,The Prince and the Coral Sea,,2000
,The [email protected]: Cinderella Girls Theater 2nd Season,Fall ,2017
1990,Jushin Riger,,1989
,Minamo,,2003
2001,Mezzo Forte,,2000
,Wormy,,2014
,Sekai no Owari: Present,,2016
2002,Ghiblies,,2000
,Kinoshita: Hayaku Sore ni Naritai!,,2017
,rerulili: chaos and creation,,2018
,Hello Kitty no Shirayuki-hime (2001),,2001
,My Wife Is the Student Council President! OVA: Okusama Gekijou,,2016
,Rumble Garanndoll,Fall ,2021
,Sono Mukou no Mukougawa,,2005
,Kigyou Senshi Yamazaki: Long Distance Call,,1997
,bloodthirsty butchers: Jack Nicholson,,2004
,Mu Di,,1963
,Toward the Terra,,1980
1999,Mamotte Shugogetten!,Fall ,1998
,Schwarzesmarken,Winter,2016
,Matoi the Sacred Slayer,Fall ,2016
,Bobobo-bo Bo-bobo Recap,,2004
,Sacred Seven Movie: Shirogane no Tsubasa,,2012
,Fate/Extra Last Encore: Illustrias Geocentric Theory,,2018
,Riddle Story of Devil: Who Is the Winner? (Pop Quiz),,2014
,Gad Guard,Spring,2003
,Macross FB7: Ginga Rukon Ore no Uta wo Kike!,,2012
,Mitchie M: Burenai Ai de,,2018
,"15 Years Old: Starting Today We'll Be Living Together",,2018
1973,Astroganger,,1972
,Akashic Re:cords OP,,2016
,Girls und Panzer der Film: 3-pun Chotto de Wakaru!! Girls & Panzer,,2015
,Blood Lad: Kanketsu Kinen PV,,2017
,Uchuu wa Tanoshii Festival,,1998
,ficfyon7,,2004
,X: The Movie,,1996
,Companion,,2005
,The Heroic Legend of Arslan: The Blade to Retake the Kingdom,,2015
,Pororo the Little Penguin 5,,2014
,Heavy Metal L-Gaim I: Pentagona Window + Lady Gavlet,,1986
,Norn9,Winter,2016
,Astro Boy: Shinsengumi,,1999
,Dr. Slump: Arale-chan - Koutsuu Ruuru wo Mamorou yo,,1983
1990,Video Ehonkan Sekai Meisaku Douwa,,1988
,FAKE TYPE. La Primavera,,2015
2020,In/Spectre Mini Anime,Fall ,2019
,Zenryoku Usagi,,2008
,Ryokuoushoku Shakai: Mela!,,2020
,Kumamiko: Girl Meets Bear Specials,,2016
,Komatta Jii-san,Spring,2020
,This Boy Can Fight Aliens!,,2011
,Fight Ippatsu! Juuden-Chan!!,Summer,2009
,Mafumafu: Ringo Hanabi to Soda no Umi,,2014
,Mr. Deniroo in Henteko Mushi,,2006
,Machibouke,,1973
,Ninja Bugei-chou Pilot,,2000
,Kankan Karasu,,1982
,Watage no Osanpo,,2005
2017,Digimon Universe: Appli Monsters,Fall ,2016
2014,Hato Poppoppo,Fall ,2013
,Sleepy,,1980
,Chiisana Kyojin Microman: Daigekisen! Microman vs Saikyou Senshi Gorgon,,1999
,Bakuto Sengen Daigander,Spring,2002
,Warau Salesman Episode 0,,1989
,"Junji Ito ""Collection"": Tomie",,2018
,Lemon Angel Project,Winter,2006
,Kangaeru Jikan,,2016
,Kano: Haru ni Ochite,,2018
,Space Shower TV: Space Shower Man - Legacy for the Future ID,,2019
,Nadia: Secret of the Blue Water Specials,,2003
,Gakuen Handsome The Animation,,2015
,China KFC x Gintama,,2018
,Daphne in the Brilliant Blue Specials,,2004
,Kizuna Ichigeki,,2011
,Kazaguruma,,1984
,Tabi wa Michizure Yo wa Nasake,,1973
,Ari to Kaeru,,1935
,Panpaka Pants O New-san,Spring,2017
,Zhu Zhu Xia: Da Nao Huang Gong,,2005
,Cyborg 009 vs Devilman,,2015
,Kuris & Yuichi Nakase: Into Starlight,,2015
,Ozanari Dungeon,,1991
,Slow Step,,1991
,Arata the Legend,Spring,2013
,Sunset Flower Blooming,,2012
2011,Battle Spirits: Brave,Summer,2010
,Legend of the Forest,,1988
2012,Mobile Suit Gundam AGE,Fall ,2011
,Natsuiro no Sunadokei,,2004
,Ultramarine Magmell,Spring,2019
,Gekigangar 3,,1998
,Umihiko Yamahiko,,1968
,CLIMBER,,2010
,Beotkkotnamu Kokkiri Sup,,2011
,Harumaki Gohan: Himitsu,,2020
,Yao Jing Zhong Zhi Shou Ce,,2020
,Cyborg 009: Legend of the Super Galaxy,,1980
,Pinocchio-P: Yozurina,,2018
,Squid Girl: Ika Ice Tabena-ika?,,2011
1965,Goman-hiki,,1962
,"Darwin's Game: Log Line",,2020
1989,The Three Musketeers,,1987
,Panda! Go Panda! Rainy Day Circus,,1973
1994,All Purpose Cultural Cat Girl Nuku Nuku,,1992
,Sentai Hero Sukiyaki Force,Winter,2017
2017,Sound! Euphonium 2 Specials,,2016
1995,Phantom Quest Corp,,1994
,Lukas Graham: 7 Years,,2016
,Fushigi na Somera-chan Special,,2015
1990,Chouju Kishin Dancougar: Hakunetsu no Shuushou,,1989
,Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze,,2010
,"Call of the Wild: Howl, Buck",,1981
,The Highschool Life of a Fudanshi Special,,2016
,GeGeGe no Kitarou: Chisougan,,1980
,Shounen Sunday CM: InuYasha,,
,The [email protected]: Cinderella Girls: Special Program,,2015
,Compiler: Music Clips in Trackdown,,1992
,Kaeru no Pickles: Kimochi no Iro,Fall ,2020
,"Blue Archive: Trinity no Natsu, Gehenna no Natsu. PV",,2021
,Last Note: Setsuna Trip,,2014
,Oedo wa Nemurenai!,,1993
,Mafumafu & Soraru: Wasurerarenbo,,2016
,Blassreiter,Spring,2008
,Wakaokami wa Shougakusei!,Spring,2018
,Samurai Bride Specials,,2013
,Zutomayo: Humanoid,,2018
2011,Digimon Xros Wars,Summer,2010
,Rilakkuma: Ohanabatake no Chiisana Kousagi,,2019
,Rilakkuma: Korilakkuma no Yancha na Mainichi,,2015
,Sonic Soldier Borgman,,1988
,DECO*27: Negative Shinkaron,,2019
,By Your Side,,2014
,Akogare Ranraran,,2021
,HENNEKO - The Hentai Prince and the Stony Cat Specials,,2013
,Koji Nakamura: B.O.Y.,,2014
,Monkey Majik x Kazumasa Oda: A Christmas Song,,2012
1987,Uchuusen Sagittarius,,1986
,Ookina Onaka,,2016
,Kano: Ivy,,2017
,Kano: Prima Stella,,2016
,Sakuran Boy DT,,2009
,Pokemon: Pikachu and Pichu,,2000
,Tottoi,,1992
,Tamagotchi! Tamatomo Daishuu GO,Spring,2015
,rerulili: Young disease outburst Boy,,2015
,Examurai Sengoku,,2009
,All Purpose Cultural Cat Nuku Nuku Special 2,,1999
2010,Needless: The Secret of Saint Lily Academy,,2009
,TRIGGER: DAYBREAK INTERLUDE,,2017
,Way back to the Sea,,2014
,Sorairo Utility,,2021
,Iketeru Futari,Winter,1999
,Beast Wars II Chou Seimeitai Transformers Movie,,1998
,Great Mazinger vs Getter Robo,,1975
1974,Kouya no Shounen Isamu,,1973
,"iMarine Project: Marine Dreamin' MMD",,2015
2016,Tong Zhi Zhe,,2015
,Licensed by Royal Special,,2003
,Hi-sCool! Seha Girls Special,,2016
,Drive Agent Personal: Shiawase wo Mamoru Mono,,2018
2001,"Zoku Gosenzo San'e",,2000
,Gdleen,,1990
,Di Gi Charat,Fall ,1999
,Nippon-ichi no Otoko no Tamashii,Winter,1999
,Manga Nippon Mukashibanashi,,1975
,Freedom Prologue,,2006
,Oyoge! Taiyaki-kun,,2008
,COSMIC!,,2009
,Seijuu Kirin Creative Relay,,2019
,OSTER project: Drossel no Tsurugi,,2012
,GeGeGe no Kitarou: Kitarou Tanjou-hen,,1980
2017,"Robber's Company",Summer,2016
2005,Angelique,,2004
,kemu: Ikasama Life Game,,2014
,Zou no Senaka: Tabi-Datsu Hi,,2007
,Nutcracker Fantasy,,1979
,Nana Seven of Seven,Winter,2002
,Ibuseki Yoruni,,2015
,Kaijuu ga Yattekuru,,1967
,CocoaSigarette-P: Tsuki Tabi,,2014
,Akai Hoshi Aoi Hoshi: Tenmon Carat no Hoshi kara,,1995
,Karakuri Circus Recap,,2019
1995,"Lord of Lords Ryu Knight: Adeu's Legend",,1994
,GeGeGe no Kitarou: Nippon Bakuretsu!!,,2008
1999,Takoyaki Mant-Man,Spring,1998
1994,Jungle King Tar-chan,,1993
,Gundam Neo Experience 0087: Green Divers,,2001
,"Pokemon: Pikachu's Winter Vacation",,1998
,Last Note: Izayoi Seeing,,2014
1992,Watashi to Watashi: Futari no Lotte,,1991
,Mobile Suit Gundam 0083: Stardust Memory Picture Drama,,2016
,Sotsugyou Mae: 10-hi de 100 no Dekigoto,,1989
,Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow Special,,2018
1978,Danguard Ace,,1977
,Kikou Keisatsu Metal Jack,,1991
2012,Higurashi no Naku Koro ni Kira,,2011
,Yoninme no Ousama,,1967
,Kusakeiba,,1971
,Kimi ga Wasureta Ookina Mono,,1992
,in the sea and near a girl.,,2014
,Muku no Ki no Hanashi,,1947
,"Angel's 3Piece!",Summer,2017
1967,Tatakae! Osper,,1965
,Sword Art Online: Sword Art Offline - Extra Edition,,2014
,Days of Urashimasakatasen: RAINBOW,Fall ,2020
,Space Fantasia 2001 Nights,,1987
2012,Busou Shinki Moon Angel,Fall ,2011
,HoneyWorks: Kokuhaku Yokou Renshuu -another story-,,2013
,Nagareboshi Lens,,2012
,Teekyuu 4,Spring,2015
,Kirby: Right Back At Ya! - Kirby 3D,,2009
,Dallos Special,,1985
,Utawarerumono: Tusukuru-koujo no Karei Naru Hibi,,2018
,Qualidea Code,Summer,2016
1998,Burn Up! Excess,Winter,1997
,rerulili: Disturb Maniac Girl,,2016
,Hana wa Saku,,2013
,Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,,2009
,Sandwhichman Touhoku Ai Bottle,,2018
,Eureka Seven: New Order,,2012
,ORESAMA: Hotohashiru,,2018
,Hachiya Nanashi: Jitter Bug,,2019
,Teekyuu 3,Fall ,2013
,Chiruri,,2011
,Mach Girl,Summer,2008
,Shimanchu MiRiKa (2011),,2011
2021,"Oh, Suddenly Egyptian God",Fall ,2020
,Night Raid 1931: Demon of the Opium Den,,2010
,Aru Hi: Inu no Kuni Kara Tegami ga Kite,,2015
,Heidi,,1974
2008,Catman Specials,,2002
,The Curlydog Story,,2008
,Last Note: The Last Effect,,2011
,Rilakkuma: Korilakkuma no Funwari Kawaii Yume,,2016
,Afterglow: Lost One no Goukoku,,2019
,Bananya,Summer,2016
,Hamtaro OVA 4: Ham-Ham Games,,2004
,Ranpo Kitan: Game of Laplace,Summer,2015
,Re-Kan!,Spring,2015
2018,Shounen Ashibe: Go! Go! Goma-chan (2017),Spring,2017
1996,Yu Yu Hakusho: Mu Mu Hakusho,,1993
,Next A-Class,Fall ,2012
,Hello Kitty In The Little Match Girl,,2001
1981,Astro Boy (1980),,1980
,Tsuritama: Harikitte Contest,,2012
,Jin: days,,2014
,Rance: Sabaku no Guardian,,1993
2017,Tiger Mask W,Fall ,2016
,"Pinocchio-P: Nice To Meet You, Mr. Earthling",,2015
,Dr. Slump Movie 10: Arale no Bikkuriman,,1999
,Jiu Se Lu,,1981
1995,Tekkaman Blade II,,1994
2012,Tayo the Little Bus 2,,2011
,Ozmafia!! Special,,2016
,Turn A Gundam I: Earth Light,,2002
,RIN-NE CM,,2009
,GoShogun: The Time Etranger,,1985
,Patalliro! Stardust Keikaku,,1983
,Bollogi Iyagi,,2003
,30th Gundam Perfect Mission,,2009
,Licca the Movie: Licca-chan to Yamaneko Hoshi no Tabi,,1997
,Kyoto Animation CM: Suiei-hen,,2013
,"Tayo the Little Bus: Tayo's Toy Adventure - Mission Ace 2",,2019
,Furusato (2013),,2013
,Modern Magic Made Simple: Cruncha Cruncha Cruncha,,2009
,The Qwaser of Stigmata II,Spring,2011
,All Purpose Cultural Cat Nuku Nuku Special 1,,1999
1981,The Wonderful Adventures of Nils Holgersson,,1980
,"Akiba's Trip: The Animation",Winter,2017
,Yell,,2009
,Kick & Slide: Kids B Happy no Ambassador wo Sagase!!,Summer,2021
,Pokke,,2015
,Nobiro Nobiro Daisuki na Ki,,2007
,CLAMP School Detectives Shorts,,2005
2000,Sol Bianca: The Legacy,,1999
,Mah: Inu Gyorai,,2014
,Fuki to Hiyoko,,2013
,Konchuu Ninja,,2008
,PEOPLE 1: Jouyatou,,2020
,Sweet Spot,,1991
1991,Noroi no One Piece,,1990
,Tokyo 7th Sisters: Seventh Haven,,2016
,Hello Kitty: Stump Village,,2005
,Nyuru Nyuru!! Kakusen-kun 2nd Season,Spring,2015
2016,Benpiyaku Colace,,2014
,Don Chuck Monogatari,,1975
,Onigakure Yama no Soba no Hana,,1979
,Money Wars: Nerawareta Waterfront Keikaku,,1991
,Nejishiki: Hai ni Mogure,,2020
,Mizuiro,,2003
2015,Joker,Fall ,2014
,Hamtaro Movie 3: Ham Ham Gran Prix Aurora Tani no Kiseki: Ribbon-chan Kiki Ippatsu,,2003
,Jumping,,1984
,Telepathy Shoujo Ran,Spring,2008
,Nyuuin Bokki Monogatari: Odaiji ni!,,1991
,rerulili: Lovely Ensemble,,2016
1966,Hustle Punch,,1965
2013,Paboo & Mojies,,2012
,Shammy to Kage Boy,,2016
,ORESAMA: Ginga,,2016
,Yu-Gi-Oh! Zexal Special,,2012
,"Pokemon: Hoopa, The Mischief Pokemon",,2015
,Yume Hakonda Randoseru,,2017
,Link Click: Troubles of Ordinary People,,2021
,Dinosaur King 2nd Season,,2008
,"Million Arthur: Farewell, Beloved Dancho",,2019
,Mitchie M: Idol Shineitai,,2020
,Rita et Machin,Fall ,2010
1983,Minky Momo,,1982
2005,Nurse Witch Komugi Z,,2004
1994,Crying Freeman,,1988
1980,Entaku no Kishi Monogatari: Moero Arthur,,1979
1997,Shiseido HG Super Hard,,1995
,Hotaru Kagayaku,,1991
,REACH x Thermae Romae: Pietrada no Kekkon,,2014
,Dance in the Vampire Bund Recap,,2010
,Pinocchio-P: Toge Toge,,2013
,Wacky TV Na Na Na,Spring,2018
1998,Sakura Wars: Ouka Kenran,,1997
,12-Sai: Chiccha na Mune no Tokimeki,Spring,2016
,Yubisaki kara no Honki no Netsujou: Osananajimi wa Shouboushi,Summer,2019
,Hamtaro Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,,2004
,Happiness! The Brilliant Day of Jun Watarase,,2007
2011,K-On!! Ura-On!!,,2010
,High School Aurabuster,,1999
1977,Little Lulu to Chicchai Nakama,,1976
,Showtime! Uta no Onee-san Datte Shitai,Fall ,2021
,Boku wa Kimi no Namida,,1998
,Kumo no Mori Marcus,,2017
,"Pokemon: Pikachu's Rescue Adventure",,1999
,rerulili: Seishun Shoukougun,,2012
1998,Blue Seed Beyond,,1996
,Kurozumi-P: Houraku no Dystopia,,2011
