anime_id,age_rating,age_rating_guide,average_rating,description,episode_count,episode_length,kind,poster_image,season,studio,tags,title,title_jp,total_length,year,year_end
614,R,17+ (violence & profanity),69.03,"Sasahara Natsuki is a poor bounty hunter in a world where monsters and humans live together. Most of her cases involve monsters infringing upon the rights of humans, who are protected by law from their generally more powerful neighbors. Being half-human and half cat-beast, Natsuki straddles the two societies and tries to understand and respect both while enforcing the law. She is assisted by a werewolf named Batanen who is afraid to admit he loves her; another werewolf named Tommy; and a Kyubi fox demon named Sakura who has her own plans--which include eating Natsuki to complete her her nine tails and thereby her magical powers. 
(Source: ANN)",25,24,TV,https://media.kitsu.io/anime/poster_images/1060/original.jpg?1408443004,Spring,Pierrot,"Action, Comedy, Sci Fi, Shounen, Animal Characteristics, Bounty Hunters, Non-Human Protagonists, Police, Post-apocalyptic, Based on a Manga",Hyper Police,はいぱーぽりす,600,1997,
5211,PG,Teens 13 or older,68.59,Recap of the first four episodes of the Long Riders series.,1,23,special,https://media.kitsu.io/anime/poster_images/12731/original.jpg?1479040306,,Actas,"Shounen, Sports, Cycling, Recap, Based on a Manga",Long Riders! Recap,ろんぐらいだぁす! 特別編｢わたしのサイクルアルバム｣,23,2016,
615,PG,Teens 13 or older,65.18,"From the Guardian World, home of mages, Tiara has been sent on a mission: recover the stolen Throne of Yord, the most powerful magic artifact of all. But Tiara finds herself in a dilemma—the Throne has been taken by her former lover, and there is more to the situation than meets the eye... 
(Source: ANN)",6,30,OVA,https://media.kitsu.io/anime/poster_images/1062/original.jpg?1408443009,,Triangle Staff,"Action, Fantasy, Contemporary Fantasy, Kidnapping, Magic, Mind Games, Person in a Strange World, Original Work, Mature Themes,, Physical Abuse",Shamanic Princess,シャーマニックプリンセス,180,1996,1998
616,R,Mild Nudity,61.06,"The special of the day is Variable Geo-a brutal battle between waitresses who serve up generous portions of energy blasts and vicious side orders of murderous martial artistry.
For buffed beauties who make below-minimum wages, VG is the perfect way to make some fast cash. The victorious walk away with millions, and the defeated lose everything (namely, all their clothes).
But this high-stakes sport has dark forces and dubious practices behind the fun and games. Lethal injections make steroids seem like vitamins. Instead of team prayer, there's demonic possession. Athletic sponsors are malevolent corporations with a more frightening agenda than increased market share. It's all just part of the game.
(Source: AniDB)",3,30,OVA,https://media.kitsu.io/anime/poster_images/1063/original.jpg?1408443011,,Chaos Project,"Action, Ecchi, Martial Arts, Superpowers, Based on a Video Game, Nudity",Variable Geo,ヴァリアブル・ジオ,90,1996,1997
617,PG,Teens 13 or older,68.59,"Millie Nocturne has one great goal in life: to be the best in the universe - at absolutely everything! But when she tries her hand at being the ""best detective,"" she ends up an unwilling partner with two people who will change her life forever: Kane Blueriver, the psi-blade-wielding master of the starship Swordbreaker, and Canal, the smart-mouthed holographic image of the ship's computer.
Join this unlikely trio on their adventures as they hurtle through space facing off against intergalactic crime lords, rogue starships, and hijackers dressed as chickens... and that's just the tip of the asteroid! 
(Source: RightStuf)",26,0,TV,https://media.kitsu.io/anime/poster_images/1064/original.jpg?1441321934,Spring,E&G Films,"Action, Adventure, Comedy, Sci Fi, Outer Space, Based on a Light Novel",Lost Universe,ロスト・ユニバース,0,1998,
618,PG,Teens 13 or older,66.08,"It is the year 4999 - mankind has long abandoned war in favor of intergalactic competition through athletic events. One of which is an all-female contest for the coveted ""Cosmo Beauty"" title. Akari Kanzaki has just entered the University Satellite in hopes of becoming the latest Cosmic Beauty - a title held by her mother long ago. On her first few days in the university, she meets new friends, encounters fierce rivals, and struggles to become the best of all the Battle Athletes. 
(Source: ANN)",6,32,OVA,https://media.kitsu.io/anime/poster_images/1065/original.jpg?1597690792,,AIC,"Ecchi, Sports, All-Girls School, Boarding School, Outer Space, Nudity",Battle Athletes,バトルアスリーテス大運動会,192,1997,1998
619,PG,Children,69.21,"Akari Kanzaki has just joined an all-girls academy in hopes of entering the University Satellite, an elite sports training facility. She wants to win the title of Cosmo Beauty - a title held years ago by her mother. It's not an easy task for her as fear, doubt and peer pressure get in her way, but friends, rivals and fans slowly encourage her to overcome her obstacles and become the best of the Battle Athletes. 
(Source: ANN)",26,22,TV,https://media.kitsu.io/anime/poster_images/1066/original.jpg?1486236519,Fall ,AIC,"Ecchi, Sports, All-Girls School, Boarding School, Outer Space",Battle Athletes Victory,バトルアスリーテス大運動会,572,1997,1998
2182,G,All Ages,68.59,"July 22, 2009. Galaxy Express 999 made a brief stop at Kagoshima on the day of total solar eclipse. Tetsuro gives a pass for the 999 to a boy named Kakeru dreaming of becoming an astronaut, saying ""It's up to you whether you can use this pass or not"".
Now it's 2035, another total solar eclipse is expected in Japan, 26 years since the last one. What became of Kakeru...?
(Source: AniDB)",1,16,movie,https://media.kitsu.io/anime/poster_images/4928/original.jpg?1408453871,,Toei Animation,"Adventure, Sci Fi",Galaxy Express 999: Beyond the Diamond Ring,銀河鉄道999 ダイヤモンドリングの彼方へ,16,2009,
622,PG,Teens 13 or older,68.55,"Yorn gazes up at two massive cities floating in the sky and dreams of discovering their mysteries. Without warning, those mysteries come looking for him. Edenic assassins murder his father and Yorn is next on the hit list. A nameless old man and a mysterious young girl help Yorn on his quest to find his long-lost mother and the truth. Known as the God Hunter, Yorn leads a race against the dark designs of the technological overlords.",26,0,TV,https://media.kitsu.io/anime/poster_images/1069/original.jpg?1408443028,Spring,Studio DEEN,"Adventure, Fantasy, Shounen, Based on a Manga",Eden's Bowy,エデンズ　ボゥイ,0,1999,
623,PG,Teens 13 or older,69.35,"Lime, Cherry, and Bloodberry, female-like androids called marionettes, have returned to Otaru`s side. The somewhat reformed marionettes of Faust (Tiger, Luchs, and Panther) are sent to stay with Otaru and friends to learn more about being human. Enter a seventh marionette named Marine, who has a mysterious power -- and they all possess the special maiden circuit that allows a marionette to feel emotions!
(Source: AniDB)",6,27,OVA,https://media.kitsu.io/anime/poster_images/1071/original.jpg?1408443033,,Hal Film Maker,"Action, Comedy, Harem, Sci Fi, Androids, Non-Human Protagonists, Robots",Saber Marionette J Again,またまたセイバーマリオネットＪ,162,1997,1998
624,PG,Teens 13 or older,65.33,"Among the ruins of the city, there is a game only children can play. It is called ""Otokoyo""; a game of hide-and-seek. But whenever children play this game, one by one they would disappear into the blinds of the buildings... The story begins when a boy enters the world of Otokoyo, to find his missing sister.",1,25,movie,https://media.kitsu.io/anime/poster_images/1072/original.jpg?1597698867,,Yamato Works,"Horror, Demons, High Stakes Games, Shorts, Supernatural, CG Animation, Original Work",Kakurenbo: Hide & Seek,カクレンボ,25,2004,
625,PG,Teens 13 or older,67.12,"Mister is a ""coyote"" or space faring outlaw who has been sitting in prison for a year for a traffic offense. Ten days from release, he breaks out with the help of his old partners Bishop and Katana. He then seeks out Franka who has been left in his care by her dead father and takes her on a journey to find her father's treasure. On their heels are the federal investigators Angelica and Chelsea as well as the android assassins of the Criminal Guild, Madame Marciano's Twelve Sisters.
(Source: ANN)",12,24,TV,https://media.kitsu.io/anime/poster_images/1074/original.jpg?1597698663,Summer,ufotable,"Sci Fi, Androids, Assassins, Noir, Police, Robots, Space Pirates, Treasure Hunters, Western, Original Work",Coyote Ragtime Show,コヨーテ ラグタイムショー,288,2006,
626,PG,Teens 13 or older,72.90,"Louise Françoise Le Blanc de La Vallière is a self-absorbed mage in a world of wands, cloaks, and royalty. Although she studies at Tristain Academy, a prestigious school for magicians, she has a major problem: Louise is unable to cast magic properly, earning her the nickname of ""Louise the Zero"" from her classmates.
When the first year students are required to perform a summoning ritual, Louise's summoning results in a catastrophic explosion! Everyone deems this to be yet another failure, but when the smoke clears, a boy named Saito Hiraga appears. Now Louise's familiar, Saito is treated as a slave, forced to clean her clothes and eat off the ground. But when an unfamiliar brand is found etched on Saito's hand from the summoning ritual, it is believed to be the mark of a powerful familiar named Gandalfr.
Wild, adventurous, and explosive, Zero no Tsukaima follows Saito as he comes to terms with his new life and as Louise proves that there is more to her than her nickname suggests.
[Written by MAL Rewrite]",13,23,TV,https://media.kitsu.io/anime/poster_images/1075/original.jpg?1408443044,Summer,J.C.Staff,"Comedy, Fantasy, Isekai, Magic, Magic School, Master-Servant Relationship, Person in a Strange World, School Life, Summoned Into Another World, Tsundere, Based on a Light Novel",The Familiar of Zero,ゼロの使い魔,299,2006,
627,G,All Ages,69.92,"Rantarou, Shinbei and Kirimaru are ninja apprentices in the Ninja Gakuen, where first grade ones are called ""Nintamas"" (contraction of the words ninja+tama (egg)). They must learn everything a ninja must know, but as for our heroes, money, food or playing are more interesting. The series show the everyday adventures of our heroes, segmentated in a cartoon fashion, like 2 small episodes in a 30-min show. The cast also includes the teachers (Doi-sensei and crossdressing Yamada-sensei), nintama kunoichis, evil guys (Dokutake ninjas) and even family members of all the cast...
(Source: ANN)",35,18,TV,https://media.kitsu.io/anime/poster_images/1078/original.jpg?1597697776,,Ajia-do,"Action, Adventure, Comedy, Shounen, Family Friendly, Ninja, Short Episodes, Based on a Manga",Nintama Rantarou,忍たま乱太郎,630,1993,
628,PG,Children,71.68,"A unique biographical sketch of the life of the great modern Japanese poet Kenji Miyazawa, Spring and Chaos is a highly stylized and intense film that draws on Miyazawa's writing techniques to tell his life story. Miyazawa often used animals as the main characters in his stories and poems, and it is this technique that allows director Shoji Kawamori to recreate Miyazawa's fanciful land of Ihatov and use it as the backdrop for Miyazawa's life. Beautiful and affecting, Spring and Chaos is a fitting tribute to one of Japan's greatest writers.
(Source: Rotten Tomatoes)",1,57,movie,https://media.kitsu.io/anime/poster_images/1084/original.jpg?1408443068,,Group TAC,"Fantasy, Abstract, Animal Protagonists, Non-Human Protagonists",Spring and Chaos,イーハトーブ幻想 Kenjiの春,57,1996,
629,G,All Ages,70.07,"Patterned after Japanese art and silk screens, Taro, The Dragon Boy is an animated feature about Japanese mythology and cultures, focusing on Taro, a young boy who has to make a voyage to a distant lake to save his mother, who has been turned into a dragon.",1,75,movie,https://media.kitsu.io/anime/poster_images/1086/original.jpg?1597690829,,Toei Animation,"Adventure, Fantasy, Demons, Dragons, Based on a Fairy Tale, Nudity",Taro the Dragon Boy,龍の子太郎,75,1979,
630,PG,Teens 13 or older,70.29,"Pepe is a Spanish cyclist competing in an multi-stage Iberian cycling race similar to the Tour de France. He is a support rider for one of the teams competing in the race, and his role is to assist the team's top rider in winning the overall race. As the story unfolds, the racers are set to ride through Pepe's home town in Andalusia on the same day as the wedding of his elder brother Angel to his former girlfriend Carmen. Their relationship was a factor in his decision to leave the town to pursue professional cycling, and the wedding is a frustrating reminder that his career hasn't turned out as he would have liked. Now, with the sponsor planning to drop him from the team and his family and friends cheering him on, Pepe abandons his assigned role and strives for glory.
(Source: ANN)",1,47,movie,https://media.kitsu.io/anime/poster_images/1087/original.jpg?1408443076,,MADHOUSE,"Action, Drama, Seinen, Sports, Cycling, Europe, Racing, Based on a Manga",Nasu: Summer in Andalusia,茄子 アンダルシアの夏,47,2003,
631,PG,Teens 13 or older,77.57,"A.D. 2040—Thirty years have passed since the battle between the Earth and Zentraedi forces changed the lives of both races. On planet Eden, a top-secret project known as ""Supernova"" is being held to determine U.N. Spacy's next-generation variable fighter. Competing to win the funding are Shinsei Industries' YF-19 and General Galaxy's YF-21. Piloting the YF-21 is Guld Goa Bowman, a half-human, half-Zentraedi. Shinsei receives its new test pilot in the form of the unruly fighter pilot Isamu Dyson, who was once a friend of Guld. Meanwhile, as Isamu and Guld furiously battle to see which of their fighters is superior, a Virturoid Idol named Sharon Apple is to perform her debut concert on Eden. In charge of Sharon is producer Myung Fang Lone, another former friend of Isamu and Guld. When the three meet each other, old disputes spark from a troubled past. Little do they know that their past incidents—along with the Supernova Project and Sharon Apple—will somehow bring them together.
(Source: ANN)",1,115,movie,https://media.kitsu.io/anime/poster_images/1089/original.jpg?1597697296,,Triangle Staff,"Drama, Mecha, Romance, Sci Fi, Aliens, Aviation, Idols, Love Triangle, Military, Music, Real Robot, Transforming Mecha, Original Work, Nudity,, Violence",Macross Plus Movie Edition,マクロスプラス　ＭＯＶＩＥ　ＥＤＩＴＩＯＮ,115,1995,
632,PG,Children,73.87,"Eva's birthday has just passed, and she hasn't heard from her father. Despising the Boarding School she attends, she escapes using her Rocket Bike that she just completed. Taking on the alias ""Molly,"" Eva sneaks with the Earth team to Alwas for the Great Race because the winner of the race gets any one wish granted. Little does the Earth Team know what danger awaits them...",26,25,TV,https://media.kitsu.io/anime/poster_images/1090/original.jpg?1597691877,Spring,Hal Film Maker,"Action, Adventure, Sci Fi, Sports, Aliens, Family Friendly, Racing, Original Work",Oban Star-Racers,オーバン・スターレーサーズ,650,2006,
633,G,All Ages,69.77,"The Yamada sisters, Kyou (15) and Asu (9), are students studying in secondary and primary schools respectively. Their mother passed away and their father ran away after incurring gambling debts. Despite the difficult circumstances, both of them decide to overcome the unhappiness and welcome their days with enthusiasm and pride. Fortunately, with the change in the law system several years ago, Kyou is able to study and simultaneously take temporary jobs (such as distributing newspapers and tutoring) to make ends meet. On the other hand, Asu takes charge of household chores, prepares meals, and manages the finances to assist her older sister. Surrounding them are also good and kind neighbors such as the novelist, Saegusa-san, and the aunt at the public bath who watch over them. Although life is difficult and at times painful, the sisters are happy to have each other.
(Source: ANN)",10,0,TV,https://media.kitsu.io/anime/poster_images/1091/original.jpg?1597698079,Summer,Toei Animation,"Drama, Seinen, Slice of Life, Iyashikei, Melancholy, Orphans, Poverty, Siblings, Based on a Manga",Binbou Shimai Monogatari,貧乏姉妹物語,0,2006,
634,PG,Teens 13 or older,70.91," In C.E. 73, tensions between Naturals and Coordinators continue to persist, eventually leading to another war between the Earth Alliance and PLANT. Sven Cal Bayan is a Natural pilot of the elite EA squad, the Phantom Pain, and carries out his squad's various anti-Coordinator missions without fail. Selene McGriff is a Coordinator researcher at the neutral Deep Space Survey and Development Organization (DSSD) and a developer of the GSX-401FW Stargazer space exploration mobile suit. Though their backgrounds are completely different, the expanding war will nevertheless force their paths to collide.
(Source: ANN) ",3,15,ONA,https://media.kitsu.io/anime/poster_images/1092/original.jpg?1597698234,Summer,Sunrise,"Mecha, Sci Fi, Outer Space, Real Robot, Violence",Mobile Suit Gundam SEED C.E.73: Stargazer,機動戦士ガンダムSEED C.E.73: Stargazer,45,2006,
635,PG,Teens 13 or older,66.50,"Kazuki has been awaiting 10 years for the day when her neighbours moved back to their old house. She has a crush on Yuuji, whom she considers as her first love but to whom she never managed to express her feelings for him before they moved out. Yuuji often comes over to play with Kazuki, Kazuki's older sister Hatsune and Yuuji's sister Marie when they were kids. Her ideal depiction of Yuuji was soon shattered when he turned out more than she had expected, him acting all ecchi during their reunion. With their parents off in South America, both families must learn to live with each other and rekindle the childhood feelings they shared together. Things get even more crazy as they attend the same school.
(Source: ANN)",13,24,TV,https://media.kitsu.io/anime/poster_images/1095/original.jpg?1597691905,Summer,Daume,"Comedy, Ecchi, Romance, Shounen, Childhood Friends, Neighbors, Based on a Manga",Tonagura!,となグラ！,312,2006,
636,PG,Teens 13 or older,59.98,"Kozue is a girl who loves astronomy, particularly the stars. One night, on an excursion to witness a meteorite, she meets Ginga, a boy who is able to help scientists discover more information about the stars through a mysterious ability of his. However, he is forced to stay in a protective suit in order to carry out his mission. Because of this, Kozue decides to convince Ginga to make his own decisions & to take off the suit using his own will. 
(Source: ANN)",1,28,ONA,https://media.kitsu.io/anime/poster_images/1097/original.jpg?1408443103,Summer,CoMix Wave Films,"Romance, Sci Fi, Astronomy, Countryside, School Club, School Life, Original Work",Hoshizora Kiseki,星空キセキ,28,2006,
637,PG,Children,61.38,"Based on the American cartoon, ""The Powerpuff Girls."" 
Professor Utonium and his son Ken are studying the strange Chemical X. When a mochi cake falls into the formula, it changes into Chemical Z. Ken fires a ray of Chemical Z at a glacier in Tokyo Bay, however that causes strange black and white lights to scatter. The black lights turn its victims into monsters, with emphasis on a black light hitting a zoo monkey and transforming him into Mojo Jojo.
The white lights, however, aim at three normal girls, Momoko, Miyako, and Kaoru. This gives them the power to transform into superheroes, the Powerpuff Girls Z! ",52,25,TV,https://media.kitsu.io/anime/poster_images/1098/original.jpg?1597699088,Summer,Toei Animation,"Action, Comedy, Magical Girl, Sci Fi, Family Friendly, Henshin Heroes, Magic, Parody, Superpowers, Based on a Cartoon",Powerpuff Girls Z,出ましたっ！パワパフガールズZ,1300,2006,2007
638,PG,Teens 13 or older,60.89,"Li Meifon is the head of a free, no expenses paid protection/security agency for escorting ships across outer space. Though only 16, she posesses great skill and leadership qualities while commanding her crew aboard their ship, the ""Angel Links."" However, some unpleasant memories begin to trouble her and she starts questioning her own past and reason for existence. Join Li Meifon and the rest of the Angel Links crew on their adventures through the Oracion star system as they battle pirates, government organizations, and a Tao master, all while finally uncovering Meifon's dark and mysterious past. ",13,24,TV,https://media.kitsu.io/anime/poster_images/1103/original.jpg?1408443120,Spring,Sunrise,"Action, Sci Fi, Mercenaries, Outer Space, Space Pirates, Based on a Light Novel",Angel Links,星方天使エンジェルリンクス,312,1999,
2183,G,All Ages,64.79,An animated music video for Oku Hanako's song Koi Tsubomi.,1,2,music,https://media.kitsu.io/anime/poster_images/4931/original.jpg?1408453880,,,"Animal Protagonists, Bears, Family Friendly, Minna no Uta, Non-Human Protagonists",Koi Tsubomi,恋つぼみ,2,2006,
639,PG,Teens 13 or older,67.13,"In the year 2010 AD, Hyper Hurricanes born concurrently all over the world caused severe damage. Five billion people lost their lives, decreasing the world's population to 3 billion. Existing economies and military were wiped out. Countries were frozen under solid ice, plains sank beneath seas, the world was changed dramatically.
Human civilization enters a chaotic era. Poverty flourished outside of these economic zones and slums were widespread. The ruling class called themselves Logos and maintained their position by force of arms. They call the poor Revenus, who are exiled to live outside the special economic areas.
Time has passed since then. Katsuragi Jo and Tsurasawa Jin, escape from Phantom, a force organized to watch Revenus and to suppress renegade elements of the Logos, taking with them a mysterious girl, Nobuto Sana. There are many who are interested in her, all with their own reasons.",12,23,TV,https://media.kitsu.io/anime/poster_images/1106/original.jpg?1408443128,Summer,Brain's Base,"Adventure, Drama, Mecha, Sci Fi, Dystopia, Military, Post-apocalyptic, Original Work",Innocent Venus,イノセント・ヴィーナス,276,2006,
640,PG,Teens 13 or older,71.82,"Taking place mere months after the Saber Marionette J OVA series, this newest installment in the Saber Marionette line follows the continuing adventures of Otaru and his clan of selfless, obsessive marionette girls. This time, the evil Faust is back, and again toying with Marionette technology that was never meant to be explored. The Saber Dolls are back, and torn between their newfound love for Otaru and their undying loyalty to Faust; Will Otaru, Lime, Cherry and Bloodberry be able to stop Faust again, or are they all headed for the scrap heap?
(Source: AniDB)",26,25,TV,https://media.kitsu.io/anime/poster_images/1107/original.jpg?1408443132,Fall ,Hal Film Maker,"Action, Comedy, Harem, Sci Fi, Androids, Non-Human Protagonists, Robots",Saber Marionette J to X,セイバーマリオネットJ to X,650,1998,1999
641,PG,Teens 13 or older,66.81,"Jr., the heir of Romana and his battle sabers Cherry and Lime, who have girl circuits are enjoying their peaceful life in Romana. Suddenly, the evil Star-Face and his sexadolls attack Romana in order to take over so Star-Face can become the next High Official. In order to truly become the next High Official and ruler of Romana, he must first eliminate Jr. This begins a battle for, not only Jr.'s life, but for all of Romana.
(Source: ANN)",3,30,OVA,https://media.kitsu.io/anime/poster_images/1108/original.jpg?1597698662,,Zero-G Room,"Action, Comedy, Harem, Sci Fi, Androids, Non-Human Protagonists, Robots",Saber Marionette R,SMガールズ セイバーマリオネットR,90,1995,
642,PG,Teens 13 or older,66.19,"When aviation mechanic (and anime fanboy) Takuya Isurugi is transferred to the 801st Tactical Training Squadron, he gets more than he bargained for. Moderated by hard-headed veteran ace Mitsuru Konishi, the ""Airbats"" are an all-female aerial acrobatic team consisting of loose cannons Miyuki Haneda and Arisa Mitaka, karaoke freak and gambling genius Sakura Saginomiya, and junk food lover Yoko Shimorenjaku. Both Haneda and Mitaka do not get along with each other, and their rivalry worsens when they both fall for Isurugi. But with the entire JASDF having doubts about the team, the Airbats must work as a team or face total disbandment. ",7,28,OVA,https://media.kitsu.io/anime/poster_images/1109/original.jpg?1408443137,,Studio Fantasia,"Comedy, Romance, Shounen, Aviation, Love Triangle, Military, Based on a Manga, Nudity",801 T.T.S. Airbats,青空少女隊,196,1994,1996
643,PG,Teens 13 or older,61.77,"Hideo Ozu is an editor in a shady adult video company. For years, he has dreamed of being a motion picture director while his childhood friend Mai Kurosawa has become an upcoming actress. Then one day, his dreams are shattered when Mai takes all of his amateur videos of her and tells him to get out of her life. On his way home after a few drinks, Hideo bumps into Cyberdoll Sara, who makes him mark an invoice. When he arrives at his pad, Hideo is greeted by three Cyberdolls - Mai, Ai and Mie. All three of them happen to look like different age variations of Mai Kurosawa. And when Kurosawa announces the release of a biography video of her using Hideo's old footage, Hideo decides to start his directing dreams over again using his three Cyberdolls. 
(Source: ANN)",1,25,OVA,https://media.kitsu.io/anime/poster_images/1110/original.jpg?1408443140,,Tokyo Kids,"Comedy, Ecchi, Sci Fi, Maids, Non-Human Protagonists, Robots, Original Work",Hand Maid Mai,ハンドメイドマイ,25,2003,
645,R,17+ (violence & profanity),64.85,"It is said that 70% of the human brain capacity is unused. If humans possess incredible power, it is strongly believed to be lying dormant within this region. This unused 70% brain capacity is known as ""Night Head"".
The famous work 'NIGHT HEAD' is going to break the silence. They were abandoned by their parents because of the psychic power they possessed. They are the Kirihara brothers, who lived in a laboratory within a barrier-protected forest. They have escaped from the laboratory, and a new wave of 'Revolution' is about to arise.
A new ""Night Head"" is about to be awakened.",24,24,TV,https://media.kitsu.io/anime/poster_images/1118/original.jpg?1597692088,Summer,Bee Media,"Horror, Mystery, Sci Fi, Psychic Powers, Psychological, Superpowers, Based on a TV Series, Mature Themes,, Violence",Night Head Genesis,NIGHT HEAD GENESIS (ナイト ヘッド ジェネシス),576,2006,
646,PG,Teens 13 or older,68.87,"In this exhilarating series paying homage to classic 50s era science fiction, the disappearance of revolutionary G-Reaction engines is but the beginning of the ghastly end for mankind. 
While deranged alien forces prepare a fleet of flying saucers to the invasion of all invasions, teenage geniuses Penny Carter and  Billy Kimura join forces with a clandestine secret alliance to save humanity from the extra-terrestrial helmet worms and their tentacles of doom! 
Avoiding alien attacks and dodging disintegration rays won't be easy, but these courageous kids will have help from above as Ace pilot James and his mentor Cpt. Clayton enter the fray to stave off a threat incomprehensible to mere mortals! 
(Source: DVD) ",6,45,TV,https://media.kitsu.io/anime/poster_images/1122/original.jpg?1597690887,Summer,A.C.G.T,"Action, Sci Fi, Aliens, Military",Project Blue Earth SOS,Project BLUE 地球SOS,270,2006,
647,PG,Teens 13 or older,71.11,"49-year-old James Lynx was an officer (LEV pilot) in the United Nations global army, one day he received notification that his wife—a Martian scientist—was killed during a lab experiment.
Hateful and resentful for letting her go, his children blamed him and cast him aside, depressed and in despair, James quit the military and took up a job as a transporter between Earth and Mars, he had some slight hope of his wife still being alive and to find her he wanted to be out there. After a few years, he seemed to have given up all hope and turned to drinking, until one day he receives an orbital frame by the name of ""Delorez,"" sent by his dead wife. Once again, he dares to hope and sets off on a wild and wacky adventure to find the truth and to reunite his family.
(Source: AniDB)",26,24,TV,https://media.kitsu.io/anime/poster_images/1124/original.jpg?1597691330,Spring,Sunrise,"Adventure, Comedy, Mecha, Sci Fi, Military, Outer Space",Zone of the Enders: Dolores,"Z.O.E Dolores,i",624,2001,
648,PG,Teens 13 or older,71.53,"After a routine raid, the rookie sky pirate Coud finds a most unusual cargo in his mates' cargo hold: Ren, an ""Edel Reid"", a race prized by humans for granting special combat power to their partners through ""Reacting"". He quickly discovers, however, that Ren is even more prized than he expected. The pirate ship is visited by three members of the Edel Reid Complete Protection Agency ""Arc Aire"", who try to purchase her. When Coud refuses, the ship is suddenly attacked by a mysterious force, and Coud's captain charges him with Ren's protection.
(Source: ANN)",26,24,TV,https://media.kitsu.io/anime/poster_images/1125/original.jpg?1597698151,Spring,XEBEC,"Action, Adventure, Fantasy, Romance, Shounen, Space Pirates, Based on a Manga",Elemental Gelade,エレメンタルジェレイド,624,2005,
649,PG,Teens 13 or older,75.33,"Seiya and the rest of the Bronze and Gold Saints who have survived the Sanctuary battle have entered the world of the Dead. They are fighting to get to Hades and defeat him. 
(Source: ANN)",12,25,OVA,https://media.kitsu.io/anime/poster_images/1128/original.jpeg?1597697628,,Toei Animation,"Action, Fantasy, Sci Fi, Shounen, Hand to Hand Combat, Power Suits, Superpowers, Violence",Saint Seiya: The Hades Chapter - Inferno,聖闘士星矢 冥王ハーデス冥界編,300,2005,2007
2204,R,Mild Nudity,60.32,Short specials added to DVDs and Blu-rays.,3,5,special,https://media.kitsu.io/anime/poster_images/4979/original.jpg?1408454004,,Studio Fantasia,"Picture Drama, Original Work",AIKa Zero Picture Drama,AIKa ZERO,15,2009,
650,PG,Teens 13 or older,76.33,"In ancient times, a group of young men devoted their lives to protecting Athena, the Goddess of Wisdom and War. These men were capable of fighting without weapons—a swing of their fist alone was powerful enough to rip the very sky apart and shatter the earth beneath them. These brave heroes became known as Saints, as they could summon up the power of the Cosmos from within themselves.
Now, in present day, a new generation of Saints is about to come forth. The young and spirited Seiya is fighting a tough battle for the Sacred Armor of Pegasus, and he isn't about to let anyone get in the way of him and his prize. Six years of hard work and training pay off with his victory and new title as one of Athena's Saints.
But Seiya's endeavor doesn't end there. In fact, plenty of perils and dangerous enemies face him and the rest of the Saints throughout the series. What new quests await the heroes of the epic Saint Seiya saga?",114,24,TV,https://media.kitsu.io/anime/poster_images/1129/original.jpg?1597697462,,Toei Animation,"Action, Fantasy, Sci Fi, Shounen, Gods, Greek Mythology, Hand to Hand Combat, Non-Human Protagonists, Norse Mythology, Power Suits, Superpowers, Based on a Manga, Mature Themes,, Physical Abuse,, Violence",Saint Seiya: Knights of the Zodiac,聖闘士星矢(セイントセイヤ),2736,1986,1989
651,G,All Ages,70.44,"Kyattou Ninden Teyande takes place in the city of Little Tokyo, a meld of feudal and modern Japanese culture, whose citizens are walking, talking animals. 
When the head palace guard catches wind that the corrupt prime minister Seymour Cheese decides to become emperor and take over Little Tokyo, he knows that only one group can save Little Tokyo: the owners of a local pizza joint, the Pizza Cats! Serving delicious pizza by day, this trio's true occupation is meowvelous warriors of justice! The Samurai Pizza Cats will do whatever it takes to protect Little Tokyo!",54,23,TV,https://media.kitsu.io/anime/poster_images/1136/original.jpg?1518142375,,Tatsunoko Production,"Action, Comedy, Sci Fi, Animal Protagonists, Anthropomorphic, Cats, Family Friendly, Non-Human Protagonists, Original Work",Samurai Pizza Cats,キャッ党忍伝てやんでえ,1242,1990,1991
652,PG,Teens 13 or older,64.71,"During the chaotic period known in Western astrology as the Aquarian Age, the alien ERASER fleet attacks Earth, ravaging cities. However, a counteroffensive is launched. The four factions—ARAYASHIKI, WIZDOM, DARKLORE, and E.G.O.—who have been fighting each other for control of Earth, join forces to defeat the ERASERS.
In the aftermath, Earth is placed under the unified rule of the POLESTAR EMPIRE. However, peace is shattered when the EMPIRE begins to use forbidden magic. These dark powers cause dimensional rifts around the world and once again plunge Earth into chaos and warfare.
(Source: AniDB)",1,60,OVA,https://media.kitsu.io/anime/poster_images/1143/original.jpg?1597691458,,MADHOUSE,"Action, Fantasy, Mystery, Based on a Card Game",Aquarian Age: The Movie,アクエリアンエイジ Saga II ~Don't forget me...~,60,2003,
653,R,Mild Nudity,60.76,"Two scientists are attempting to distribute the cure for a demon virus that is affecting people all over Japan, however, things have become complicated. One of them has become infected. So begins his battle with himself, as he attempts to not only control his emerging demon side, but also to save the lives of others by wielding its great strength. ",1,58,OVA,https://media.kitsu.io/anime/poster_images/1144/original.jpg?1597699110,,MADHOUSE,"Action, Horror, Seinen, Demons, Based on a Manga, Explicit Sex,, Explicit Violence",Bio Hunter,バイオ・ハンター,58,1995,
